nome,squadra,confidence,status
Coda M.,Genoa,58.8,UNRESOLVED
Henry,Verona,66.7,UNRESOLVED
Weissman,Salernitana,55.6,UNRESOLVED
Petagna,Cagliari,61.5,UNRESOLVED
Karamoh,Torino,66.7,UNRESOLVED
Success,Udinese,53.3,UNRESOLVED
Cuni,Frosinone,60.0,UNRESOLVED
Ikwuemesi,Salernitana,52.6,UNRESOLVED
Origi,Milan,66.7,UNRESOLVED
Van Hooijdonk,Bologna,50.0,UNRESOLVED
Seck,Frosinone,72.7,UNRESOLVED
Destro,Empoli,66.7,UNRESOLVED
Caprari,Monza,71.4,UNRESOLVED
Caso,Frosinone,66.7,UNRESOLVED
Botheim,Salernitana,57.1,UNRESOLVED
Mulattieri,Sassuolo,60.0,UNRESOLVED
Shpendi S.,Empoli,54.5,UNRESOLVED
Karlsson,Bologna,70.6,UNRESOLVED
Tavsan,Verona,60.0,UNRESOLVED
Puscas,Genoa,61.5,UNRESOLVED
Deulofeu,Udinese,53.3,UNRESOLVED
Latte Lath,Atalanta,55.6,UNRESOLVED
Ake' M.,Udinese,66.7,UNRESOLVED
Kokorin,Fiorentina,61.5,UNRESOLVED
Braaf,Verona,61.5,UNRESOLVED
Traore' C.,Milan,63.2,UNRESOLVED
Kallon,Verona,72.7,UNRESOLVED
Ceide,Sassuolo,61.5,UNRESOLVED
Voelkerling Persson,Lecce,51.9,UNRESOLVED
Valencia D.,Salernitana,73.7,UNRESOLVED
Alvarez A.,Sassuolo,70.6,UNRESOLVED
Ekong,Empoli,54.5,UNRESOLVED
Vivaldo,Udinese,57.1,UNRESOLVED
Kvernadze,Frosinone,62.5,UNRESOLVED
Bidaoui,Frosinone,57.1,UNRESOLVED
Yalcin,Genoa,62.5,UNRESOLVED
Burnete,Lecce,71.4,UNRESOLVED
Corfitzen,Lecce,57.1,UNRESOLVED
Stewart,Salernitana,61.5,UNRESOLVED
Cruz,Verona,54.5,UNRESOLVED
Ghedjemis,Frosinone,53.3,UNRESOLVED
Ankeye,Genoa,60.0,UNRESOLVED
Kabic,Torino,60.0,UNRESOLVED
